Number,Title,Author,Status
7688,Forward compatible consensus data structures,"Etan Kissling, Cayman",Review
7692,EVM Object Format (EOFv1) Meta,"Alex Beregszaszi, PaweÅ Bylica, Andrei Maiboroda, Piotr Dobaczewski, Danno Ferrin",Review
7698,EOF - Creation transaction,"Piotr Dobaczewski, Andrei Maiboroda, PaweÅ Bylica, Alex Beregszaszi",Review
7742,Uncouple blob count between CL and EL,Alex Stokes,Review
7743,Multi-Owner Non-Fungible Tokens (MO-NFT),James Savechives,Review
7744,Code Index,Tim Pechersky ,Review
7746,Composable Security Middleware Hooks,Tim Pechersky,Review
7750,Decentralized Employment System,James Savechives ,Review
7758,Transfer With Authorization,"Peter Jihoon Kim, Kevin Britz, David Knott, Dongri Jin",Review
7762,Increase MIN_BASE_FEE_PER_BLOB_GAS,"Max Resnick, Davide Crapis, Ansgar Dietrichs",Review
7777,Governance for Human Robot Societies,"OpenMind, Jan Liphardt, Shaohong Zhong, Boyuan Chen, Paige Xu, James Ball, Thamer Dridi",Review
7784,GETCONTRACT opcode,Tim Pechersky,Review
